JobName	URL	Location	Date	Company	Description
Desarrollador FrontEnd	https://pe.linkedin.com/jobs/view/desarrollador-frontend-at-canvia-3987655734?position=1&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=YJACdKK9jdYSKzVYM7GOJA%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Canvia	Description not found
Desarrollador Frontend	https://pe.linkedin.com/jobs/view/desarrollador-frontend-at-fractal-3996662725?position=2&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=h6pzI4NmhEo5VngX8mCUtA%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 week ago	FRACTAL	Description not found
Frontend Developer	https://pe.linkedin.com/jobs/view/frontend-developer-at-softtek-3991911763?position=3&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=TU%2F%2FLKPl3FVdpDKneVRBWg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de un talento para el perfil:
Frontend Developer
Requisitos:
Experiencia de 4+ años desarrollando en la especialidad.
Bachiller y/o Técnico Ingeniería de Sistemas, Software, Informática o afines.
Experiencia en JavaScript en un nivel avanzado, manipula hábilmente HTML5 y CSS.
Experiencia solida en Angular y
React.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo: HIBRIDO
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento."
Desarrollador de front-end	https://pe.linkedin.com/jobs/view/desarrollador-de-front-end-at-softtek-4001747920?position=4&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=o7mTdH5MZ5tP94jwCI%2F9IA%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	4 days ago	Softtek	Description not found
Desarrollador de front-end	https://pe.linkedin.com/jobs/view/desarrollador-de-front-end-at-softtek-3982518502?position=5&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=S%2FsMy8%2BZUyS3WgY6jlshAw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	3 weeks ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de perfiles de:
Desarrollador Frontend
¿Qué buscamos?:
4 años
de experiencia como desarrollador Frontend
Tecnologías web: HTML 5 y CSS3
Lenguajes de programación: Typescript (Avanzado) y JavaScript (avanzado)
Librerías y FW: Stencil, React, Angular y NextJs
Build tools: Webpack, Gulp, etc.
Conocimiento en Resposive Design, PWA y SPA
Pruebas Unitarias / E2E : Cypress, Jest, Mocha, Chai, Sinon, Superset
Experiencia con AWS
Funciones:
Desarrollo e implementación de aplicaciones web y/o móviles (híbridas).
Trabajar con Producto y UX para entender RQs de los usuarios y colaborar en el diseño de nuevas funcionalidades.
Utilizar buenas prácticas de desarrollo, incluyendo pruebas automatizadas, estándares de código y revisiones de código.
Asegurar un estándar de calidad alto en el desarrollo.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo:
Híbrido (1-2 veces presencial por mes en San Isidro-Lima)
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potenciar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento."
Desarrollador Frontend Web	https://pe.linkedin.com/jobs/view/desarrollador-frontend-web-at-softtek-3993157650?position=6&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=gt9Ol8gffgVDMHxN%2B6sCBA%3D%3D&trk=public_jobs_jserp-result_search-card	San Isidro, Peru	2 weeks ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de perfiles de:
Desarrollador Frontend Web
Requisitos:
Bachiller o Titulado de las carreras de Ing. Computación e informática, Sistemas o afines.
Experiencia de 4 años a más como Desarrollador Frontend Web Developer
Experiencia en patrones de desarrollo (Singleton, observer, modulo, etc).
Experiencia en aplicación de pruebas unitarias a componentes creados. (Jest, TestLibrary)
Competencia técnica en:
JavaScript
HTML5 y CSS.
React.js
Server Side Rendering
Aplicaciones web
Redux, useContext
integración a API´s (Amplify, Axios)
GIT
Funciones:
Desarrolla nuevas funciones orientadas al usuario.
Crea código front end, componentes y bibliotecas reutilizables para uso futuro.
Asegura la viabilidad técnica de los diseños UI/UX.
Optimiza la aplicación para lograr óptimos tiempos de respuesta, optima estabilidad, seguridad y escalabilidad.
Da soporte todo el ciclo de vida de la aplicación (Desarrollo, pruebas, lanzamiento y soporte)
Realiza pruebas unitarias y de IU para mejorar la calidad del desarrollo.
Realiza análisis causa raíz para una rápida respuesta ante incidentes en la aplicación sobre la cual está desarrollando.
Se asegura que las aplicaciones nuevas y heredadas cumplan con los estándares de calidad realizando revisiones de pares de código.
Realiza merge, resuelve conflictos de código y realiza aprobaciones de Pull Request.
Realiza revisión de pares de código
Documentar de manera simple (Modelo Ágil) las implementaciones que va realizando.
Colabora con otros miembros del equipo y partes interesadas.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo: HIBRIDO
Horario de trabajo: Lunes a Viernes 09:00 am a 06:00pm
Lugar de trabajo: San ISIDRO
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29973 y su reglamento."
Frontend Developer	https://pe.linkedin.com/jobs/view/frontend-developer-at-softtek-3993829477?position=7&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=WryGqlDHGQGSg6m8FVrXtA%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 week ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de perfiles de:
Desarrollador Frontend
¿Qué buscamos?:
5 años
de experiencia como desarrollador Frontend (Indispensable)
Tecnologías web: HTML 5 y CSS3
Lenguajes de programación: Typescript (Avanzado) y JavaScript (avanzado)
Librerías y FW: Stencil, React, Angular y NextJs
Experiencia con AWS
Funciones:
Desarrollo e implementación de aplicaciones web y/o móviles (híbridas).
Trabajar con Producto y UX para entender RQs de los usuarios y colaborar en el diseño de nuevas funcionalidades.
Utilizar buenas prácticas de desarrollo, incluyendo pruebas automatizadas, estándares de código y revisiones de código.
Asegurar un estándar de calidad alto en el desarrollo.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo:
Híbrido (03 veces presencial por semana en San Borja-Lima)
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potenciar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento."
Software Developer Frontend	https://pe.linkedin.com/jobs/view/software-developer-frontend-at-softtek-4003164835?position=8&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=WlcOVLEYak5PuhPHfpF7Kw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 days ago	Softtek	Description not found
Desarrollador Frontend JavaScript	https://pe.linkedin.com/jobs/view/desarrollador-frontend-javascript-at-softtek-4001701260?position=9&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=GlygIf9t9r5f6wy0ghe3og%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	4 days ago	Softtek	Description not found
Desarrollador Frontend	https://pe.linkedin.com/jobs/view/desarrollador-frontend-at-softtek-3990411321?position=10&pageNum=0&refId=kZRV0NOHx6jnEaaL8mS%2F3A%3D%3D&trackingId=kzbfVnmgBQxhDF%2BkKBlmsw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de perfiles de:
Desarrollador Frontend
¿Qué buscamos?:
4 años
de experiencia como desarrollador Frontend
Tecnologías web: HTML 5 y CSS3
Lenguajes de programación: Typescript (Avanzado) y JavaScript (avanzado)
Librerías y FW: Stencil, React, Angular y NextJs
Build tools: Webpack, Gulp, etc.
Conocimiento en Resposive Design, PWA y SPA
Pruebas Unitarias / E2E : Cypress, Jest, Mocha, Chai, Sinon, Superset
Experiencia con AWS
Funciones:
Desarrollo e implementación de aplicaciones web y/o móviles (híbridas).
Trabajar con Producto y UX para entender RQs de los usuarios y colaborar en el diseño de nuevas funcionalidades.
Utilizar buenas prácticas de desarrollo, incluyendo pruebas automatizadas, estándares de código y revisiones de código.
Asegurar un estándar de calidad alto en el desarrollo.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo:
Híbrido (1-2 veces presencial por mes en San Isidro-Lima)
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potenciar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29733 y su reglamento."
