JobName	URL	Location	Date	Company	Description
Desarrollador FullStack	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-at-csti-corp-3980910666?position=1&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=BNe5%2FDplw9YQmNYju0gxwg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	3 weeks ago	CSTI Corp	"Nos encontramos en la búsqueda de un
""Desarrollador FullStack”
Requisitos
3 años de experiencia en desarrollo frontweb en javascript, deseable el uso de vue js y typescript.
3 años de experiencia en algún lenguaje de desarrollo (net, java)
Tener experiencia en nodejs para backend y tener disposición a trabajarlo.
2 años de experiencia en manejo intermedio de bases de datos mongodb y no relacionales (indispensable, ya que solo trabajan con mongo db)
2 años de experiencia integrando webservices con herramientas como postman.
conocimiento de despliegue continuo (github actions) y buenas prácticas de arquitectura de sistemas
conocimiento y aplicación de metodologías ágiles como scrum (deseable)
debe tener interés o manejar cualquier nube como aws, azure o gcp
deseable cursos y/o certificaciones relacionadas al cargo.
Beneficios
Horario de Lunes a Viernes de 8 30 am a 5 30pm
EPS cubierto al 100%
Planilla Pyme
Remoto al 100%
Estabilidad laboral
¡Ven y únete a la familia CSTI CORP!
CSTI Corp es una empresa peruana líder en la industria TI con más de 13 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud."
Desarrollador Full Stack	https://pe.linkedin.com/jobs/view/desarrollador-full-stack-at-innova-schools-3997306907?position=2&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=oYab057w4Au7hLEOfhHlIw%3D%3D&trk=public_jobs_jserp-result_search-card	La Victoria, Peru	1 week ago	Innova Schools	Description not found
Desarrollador Full Stack	https://pe.linkedin.com/jobs/view/desarrollador-full-stack-at-innova-schools-3982049079?position=3&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=jwiKvRL70c8YGrc5Gc3tKw%3D%3D&trk=public_jobs_jserp-result_search-card	La Victoria, Peru	3 weeks ago	Innova Schools	"Intercorp. actualmente contamos con 63 sedes a nivel nacional. Somos una organización que está buscando transformar la educación en el Perú, además que fomenta y respeta en sus procesos de atracción del talento la igualdad de género, inclusión y la diversidad.
Actualmente estamos en la búsqueda de un/a DESARROLLADOR FULL STACK
Principales Funciones
Desarrollo, testing y despliegue de la solución planteada.
Construir las aplicaciones Front requeridas siguiendo las especificaciones de diseño y estándares de desarrollo de Innova Schools, ejecutar las actividades de pruebas técnicas y unitarias. Acompañar la integración de los programas al Back y el despliegue de la solución en ambiente testing/pre-productivo.
Proponer mejoras al diseño de la aplicación, siguiendo con las mejores prácticas en UX y IU, para asegurar que la solución tenga una mejor experiencia de usuario.
Efectuar actividades de corrección de los programas y estabilización de la solución como parte del acompañamiento al proceso de Testing Funcional y realizar el despliegue en ambiente productivo en coordinación con el área de sistemas.
Trabajar en la integración de la Intranet con las aplicaciones que ya existen en Innova Schools y han sido mapeadas como las más relevantes para conversar con el sistema.
Acompañamiento post producción para el mantenimiento y estabilización de la solución.
Requisitos
Egresada(o) de Instituto Técnico o Universidad.
Carrera de Sistemas, Informática o afines.
Conocimiento de desarrollo back end (Java, .NET, C#)
Experiencia en Java, Spring (Boot), Hibernate.
Maneja programas como React.js, HTML, CSS y JavaScript, para el desarrollo front end de la Intranet que estamos construyendo.
Manejo intermedio de base de datos, SQL Server / MySQL
Conocimientos básicos Arquitectura AWS
Experiencia en desarrollo web y con metodologías de mejora continua como “agile”.
Experiencia mínima de 3 años como Fullstack"
Desarrollador FullStack	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-at-soaint-3999546234?position=4&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=ZhRAaph81uokf6FSpPEEiw%3D%3D&trk=public_jobs_jserp-result_search-card	Miraflores, Lima, Peru	4 days ago	SOAINT	Description not found
Desarrollador Fullstack NestJS Junior	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-nestjs-junior-at-evol-tsnet-3996583400?position=5&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=8nTfDxa8AV%2Fn24XyyIWFnQ%3D%3D&trk=public_jobs_jserp-result_search-card	San Borja, Peru	1 week ago	EVOL (TSnet)	"ÚNETE A NUESTRO EQUIPO
Buscamos un
Desarrollador fullStack Junior
, quien formará parte del equipo responsable del proceso de transformación digital de uno de nuestros principales clientes, permitiendo canalizar efectivamente las necesidades, creando sinergia y orientando sus acciones a la obtención de resultados a través de su experiencia, conocimientos y habilidades.
Formación Profesional:
Bachiller o Titulados de la carrera de Ingeniería Sistemas o afines.
¿Qué necesitamos de ti?
Experiencia mínima de 1 año trabajando con arquitectura de microservicios.
Experiencia y conocimiento en GCP (Google Cloud Platform) minino 1 año- Necesario
Dominio de Angular, NestJS y Postgres y versionamiento Git- Necesario
Base de datos Postgres
Experiencia trabajando con metodologías ágiles.
Conocimiento y experiencia de SOLID y desarrollo seguro
Modalidad de trabajo : Remoto
¿Qué beneficios tendrás?
EPS cubierto al 100%.
Programa de capacitaciones.
Actividades recreativas, salud y bienestar.
Acceso a plataformas de aprendizaje y Capacitación
“Cabe informar que el postulante afirma su consentimiento y autorización del uso de sus datos personales expuestos en su CV, dentro del marco de la Ley de Protección de Datos Personales N° 29733, para fines únicamente de postulación con la organización, este registro se deriva al área de RRHH y se conservará durante un plazo máximo de 6 meses, posterior al proceso de selección”.
MIMP y normas complementarias, se reciben también postulaciones de personas con discapacidad, debidamente acreditadas y certificadas, a fin de ser evaluadas según la descripción del puesto."
DESARROLLADOR FULLSTACK .NET	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-net-at-tata-consultancy-services-3997816954?position=6&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=8hZUKVy8sFBswNWiMeYgYQ%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 week ago	Tata Consultancy Services	Description not found
Desarrollador Fullstack (react JS, microservices) - inglés avanzado	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-react-js-microservices-ingl%C3%A9s-avanzado-at-tata-consultancy-services-3999728568?position=7&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=m5XwVvAZz2D0J4GaYU26Rw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	6 days ago	Tata Consultancy Services	"Tata Consultancy Services es una empresa de servicios de TI, consultoría y soluciones de negocios que se asocia con varias grandes empresas globales para acompañarlos en su trayectoria de transformación. TCS ofrece una cartera integrada enfocada en consultoría y basada en Cognitive de servicios TI, Servicios de Tecnología y Negocios, e ingeniería. Todo esto se ofrece por medio de su único modelo de entrega Ágil de ubicación independiente (Location Independent Agile), reconocido como el parámetro de excelencia en desarrollo de aplicaciones. Como parte del Grupo Tata, el conglomerado industrial más grande de la India, TCS posee más de 390,000 de los consultores mejor capacitados del mundo en 46 países. La empresa generó una facturación consolidada de $17.6 mil millones de dólares en el año fiscal que finalizó el 31 de marzo de 2017, y cotiza en la BSE (anteriormente la Bolsa de Valores de Bombay) y la NSE (Bolsa Nacional de Valores) de la India. Para mayor información, visítenos en www.tcs.com. TATA Consultancy Services (TCS) es un empleador que trabaja sobre la base a méritos y no solicita dinero a postulantes; ni utiliza agencia alguna para hacer ofertas en representación de TCS.
TCS promueve la Diversidad, Equidad e Inclusión (DEI), para que todos puedan sentirse seguros, respetados y valorados. Nuestro lema es “Inclusión sin Excepción”
Puesto: Desarrollador Fullstack (react JS, microservices) - inglés avanzado
Requisitos:
- 3-5 o más años de experiencia como ingeniero front-end práctico
- Experto en Desarrollo de Aplicaciones Web con tecnologías React JS
- 3-5 años de experiencia en JavaScript y Redux/Typescript
- Familiaridad con Microservicios, MicroFrontEnd
- Experiencia con bibliotecas y API de terceros (Storybook, React Routing, Swagger/OpenAPI)
- 3-5 o más años de desarrollo de API web para interacción RESTful de capa de datos
- 3-5 años de experiencia con ORMs (Object Relational Mapping) de Node.js para conectarse a sistemas SQL RDBMS (Relational Database Management System).
- 3-5 años de experiencia con marcos Backend para Frontend (BFF) como Express, NestJS o Apollo GraphQL, TypeORM, Fastify, msnodesqlV8
- Experiencia con bases de datos SQL y NoSQL.
- Sólido conocimiento de plataformas en la nube como Microsoft Azure, Google Cloud.
- Buen conocimiento de las prácticas y herramientas de DevOps para CICD, incluidos Kubernetes y plataformas en contenedores.
- Es bueno tener secuencias de comandos Bash/Python
Funciones:
- Revisar los requisitos comerciales y proporcionar estimaciones detalladas del esfuerzo o los recursos necesarios para completar la solución. Responsable de la creación y ejecución del diseño técnico, incluida la revisión y aprobación.
- Responsable de los requisitos no funcionales (por ejemplo, manejo de errores, seguridad, rendimiento, etc.), participar en el diseño funcional y apoyar al analista de negocios según sea necesario.
- Realizar pruebas unitarias en la aplicación en desarrollo y revisiones de código para módulos desarrollados por pares o desarrolladores externos. Preparar y garantizar la implementación del proceso de gestión de cambios para una transición fluida entre entornos.
- Soporte y mantenimiento de todas las aplicaciones desarrolladas en el país.
- Investigar y coordinar con equipos de proyectos especializados en Walmart Home Office sobre el abastecimiento de datos para aplicaciones aprobadas para desarrollo en el país.
- Proporcionar información sobre el aspecto técnico del proceso de Planes de seguridad de soluciones (SSP).
- Esforzarse por conocer bien las tecnologías actuales utilizadas en proyectos que se alinean con las estrategias corporativas. Identifique y cree componentes reutilizables en todos los proyectos para garantizar la mejora de la productividad.
Beneficios:
✅ Salario por encima del mercado.
✅Acceso a cursos en Udemy, LinkedIn Learning y otras plataformas de aprendizaje.
✅Línea de carrera.
✅Acceso a EPS.
✅Reembolso de certificaciones.
✅Descuentos corporativos, recreativos, educativos y gimnasio.
✅Programas de crecimiento profesional.
✅Capacitaciones constantes y más."
Desarrollador Fullstack (Java, Microservices, Angular, JS, Springboot) - Inglés avanzado	https://pe.linkedin.com/jobs/view/desarrollador-fullstack-java-microservices-angular-js-springboot-ingl%C3%A9s-avanzado-at-tata-consultancy-services-3999729836?position=8&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=18%2B9VuWcUEEEI5hXQSNMIw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	6 days ago	Tata Consultancy Services	"Tata Consultancy Services es una empresa de servicios de TI, consultoría y soluciones de negocios que se asocia con varias grandes empresas globales para acompañarlos en su trayectoria de transformación. TCS ofrece una cartera integrada enfocada en consultoría y basada en Cognitive de servicios TI, Servicios de Tecnología y Negocios, e ingeniería. Todo esto se ofrece por medio de su único modelo de entrega Ágil de ubicación independiente (Location Independent Agile), reconocido como el parámetro de excelencia en desarrollo de aplicaciones. Como parte del Grupo Tata, el conglomerado industrial más grande de la India, TCS posee más de 390,000 de los consultores mejor capacitados del mundo en 46 países. La empresa generó una facturación consolidada de $17.6 mil millones de dólares en el año fiscal que finalizó el 31 de marzo de 2017, y cotiza en la BSE (anteriormente la Bolsa de Valores de Bombay) y la NSE (Bolsa Nacional de Valores) de la India. Para mayor información, visítenos en www.tcs.com. TATA Consultancy Services (TCS) es un empleador que trabaja sobre la base a méritos y no solicita dinero a postulantes; ni utiliza agencia alguna para hacer ofertas en representación de TCS.
TCS promueve la Diversidad, Equidad e Inclusión (DEI), para que todos puedan sentirse seguros, respetados y valorados. Nuestro lema es “Inclusión sin Excepción”
Puesto: Desarrollador Fullstack (Java, Microservices, Angular, JS, Springboot) - Inglés avanzado
Requisitos:
FullStack Developer with the following:
- 5+ years of experience with:
- Java, Microservices, Springboot
- JavaScript and Redux
- Expert in Web App Development with Angular
- Camel (message queueing)
- Unix
- Basic knowledge of SQL databases
Deseable:
- JPOS Drivers.
- Kubernetes and Containers.
- React.
Beneficios:
✅ Salario por encima del mercado.
✅Acceso a cursos en Udemy, LinkedIn Learning y otras plataformas de aprendizaje.
✅Línea de carrera.
✅Acceso a EPS.
✅Reembolso de certificaciones.
✅Descuentos corporativos, recreativos, educativos y gimnasio.
✅Programas de crecimiento profesional.
✅Capacitaciones constantes y más."
Desarrollador Sr .NET	https://pe.linkedin.com/jobs/view/desarrollador-sr-net-at-tata-consultancy-services-3991938726?position=9&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=uJAKSSWZAoZIk69CUQxrMg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Tata Consultancy Services	"Tata Consultancy Services es una empresa de servicios de TI, consultoría y soluciones de negocios que se asocia con varias grandes empresas globales para acompañarlos en su trayectoria de transformación. TCS ofrece una cartera integrada enfocada en consultoría y basada en Cognitive de servicios TI, Servicios de Tecnología y Negocios, e ingeniería. Todo esto se ofrece por medio de su único modelo de entrega Ágil de ubicación independiente (Location Independent Agile), reconocido como el parámetro de excelencia en desarrollo de aplicaciones. Como parte del Grupo Tata, el conglomerado industrial más grande de la India, TCS posee más de 390,000 de los consultores mejor capacitados del mundo en 46 países. La empresa generó una facturación consolidada de $17.6 mil millones de
dólares en el año fiscal que finalizó el 31 de marzo de 2017, y cotiza en la BSE (anteriormente la Bolsa de Valores de Bombay) y la NSE (Bolsa Nacional de Valores) de la India. Para mayor información, visítenos en www.tcs.com. TATA
Consultancy Services (TCS) es un empleador que trabaja sobre la base a méritos y no solicita dinero a postulantes; ni utiliza agencia alguna para hacer ofertas en representación de TCS.
TCS promueve la Diversidad, Equidad e Inclusión (DEI), para que todos puedan sentirse seguros, respetados y valorados. Nuestro lema es “Inclusión sin Excepción”
ROL: Analista Programador Senior Fullstack .NET
Requisitos:
Desarrollador full stack Senior
C#, Vb, Sql, Informix, Oracle y Postgressql, Herramientas git, visual studio, tfs, IIS, Visual Code, Toad, dbeaver.
Deseabale con experiencia bajo scrum, AWS y Mulesoft
Beneficios:
✅ Salario por encima del mercado.
✅Acceso a cursos en Udemy, LinkedIn Learning y otras plataformas de aprendizaje.
✅Línea de carrera.
✅Acceso a EPS.
✅Reembolso de certificaciones.
✅Descuentos corporativos, recreativos, educativos y gimnasio.
✅Programas de crecimiento profesional.
✅Capacitaciones constantes y más."
Desarrollador de Ruby on Rails	https://pe.linkedin.com/jobs/view/desarrollador-de-ruby-on-rails-at-outcode-software-3999384849?position=10&pageNum=0&refId=LkbRgolQP96xCvGhzf%2FH6A%3D%3D&trackingId=o8VWvgokGjDDdu00%2F6Jktg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	3 days ago	Outcode Software	"Job Description
As a Ruby fullstack software engineer, you will be expected to be an active participant in all the delivery stages of web app development. You will be responsible for designing, developing, testing, and debugging responsive web applications for the company. Using Ruby on Rails in Backend, React or Angular or vueJS or JQuery in Frontend.
Key Responsibilities
Designing, developing, and testing UI for web applications
Build Web Portals and ensure the technical feasibility of UI/UX Design
Build reusable code and libraries for future use
Accurately translate user and business needs into functional frontend code
Contribute to overall product requirements and design
Optimization of the application for maximum speed and scalability
Translation of UI/UX wireframes to visual elements
Implementation of security and data protection
Integration of the front-end and back-end aspects of the applications
Implementation of a robust set of services and APIs to power the applications
Proficient understanding of cross-browser compatibility issues and ways to work around such issues
Seamlessly Switch Between Multiple Projects
Required Skills
Excellent knowledge of Ruby On Rails.
2 - 3 years of working experience in web application development.
2 - 3 years frontend development experience with strong JavaScript, CSS3 and HTML5 skills.
Experience working with ES2015 (ES6 / ES7).
Experience with line commands, APIs and client-side performance.
Experience with a JS framework like: React, or Angular, or Vue, or JQuery.
Well-qualified candidates have experience planning and designing applications while following an agile methodology.
Preferred Qualifications
Bachelor's degree in Computer Science or Software Engineering or related.
Experience in developing highly interactive applications.
What you'll love about us...
Working in a fast-growing company.
International working environment.
5 working days during the week."
