JobId	JobName	URL	Location	Date	Company	Description
1	Backend Engineer (Node.js)	https://pe.linkedin.com/jobs/view/backend-engineer-node-js-at-yape-4002939385?position=1&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=ZR876SpnuRjVIhy4agk8HQ%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 days ago	Yape	"Somos 15 millones de yaperos y 2.5 millones de empresas que utilizan Yape a diario. Estamos disponibles para todos, lo que nos convierte en una plataforma única y clave del ecosistema digital del Perú.
Esperamos que te involucres en discusiones relacionadas con todos los aspectos del desarrollo de productos y tecnología.
Nuestro desafío es que estamos creciendo rápidamente y tenemos una amplia cantidad de datos que pueden ser explotados para mejorar la vida de los yaperos y nuestro negocio. Nos motiva construir un país conectado sin barreras, que fomente el crecimiento y desarrollo para todos los peruanos.
Para seguir brindando la mejor experiencia a nuestros yaperos, necesitamos el mejor talento.
Sé parte de esta emocionante misión y contribuye con nuestro propósito de hacer más simple el día a día de las personas para que sigan movilizando sus vidas.
¡Contágiate de la Vibra Yape y haz que la vida fluya!
Responsabilidades
Responsable por el funcionamiento del sistema y manejo de los datos dentro de la aplicación.
Su función es integrar aplicaciones con múltiples sistemas, capas de negocio y servicios necesarios con el objetivo de proporcionar una interfaz simple de programación de aplicación (API) para mostrar la información a través de una interfaz de usuario (GUI).
Es el responsable principal de la operación, el rendimiento y la escalabilidad de los servicios. Integra sistemas legados, trabaja con la capa de datos y base de datos.
Genera documentación para poder integrar las APIs desarrolladas con distintas interfaces de usuario.
Monitorea la eficiencia de cada uno de los servicios desarrollados y desarrolla pruebas unitarias e integración para validar los distintos flujos de negocio.
Requisitos
3 años de experiencia en desarrollo Back End.
Experiencia en lenguaje
Node.js
(Indispensable)
Experiencia en creación de servicios REST (Indispensable)
GraphQL
Conocimiento de patrones de diseño de software y clean code (Indispensable)
Conocimiento y aplicación de
Kafka
(Indispensable)
Capaz de desarrollar códigos que tengan una calidad, seguridad y legibilidad impecables.
1 a 2 años de experiencia trabajando en equipos ágiles - Deseable
Conocimiento de prácticas de seguridad con OWASP 10 - Deseable"
2	Desarrollador/a Backend Java	https://pe.linkedin.com/jobs/view/desarrollador-a-backend-java-at-periferia-it-group-3994801956?position=2&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=5OtPeFkD8zmvCRTdqleqiw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 week ago	Periferia IT Group	"¡Prepárate para vivir una nueva etapa con Periferia IT Group! 🌟Si tienes experiencia como
Desarrollador/a
Backend Java
y quieres generar un impacto en el mundo tecnológico, esta es tu oportunidad para unirte a nuestro equipo. Trabajarás con más de 1,000 profesionales en una multinacional colombiana líder en el sector TI, con fuerte presencia en América Latina y Estados Unidos. ¡Impulsa tu carrera con nosotros y haz crecer tu potencial! 🚀📈💼💻
¿Te gustaría llevar tu carrera al siguiente nivel con Periferia IT Group?
👥 Únete a nuestra cultura Periferia enfocada al servicio y la innovación, donde cada idea cuenta para superar las expectativas de nuestros clientes.
🚀 Sumérgete en un entorno laboral dinámico que fomenta el aprendizaje continuo y el desarrollo personal.
💡 Participa en proyectos desafiantes donde podrás aplicar tus conocimientos y habilidades para generar un impacto real.
🤝 Disfruta de un equilibrio entre tu vida personal y laboral, mientras promovemos el bienestar integral de todos nuestros colaboradores.
Para destacar en tu postulación debes:
🎓 Ser técnico/a o egresado/a universitario/a en Ingeniería de Sistemas o disciplinas relacionadas.
💻 Contar con experiencia superior a 3 años en desarrollo Java 11+ y Spring Framework.
📊 Dominar un nivel alto en Base de Datos SQL Server.
🌱 Capacidad de adaptarse a nuevas tecnologías y enfoques innovadores para maximizar su impacto.
Tus funciones específicas serán:
📈 Desarrollar componentes backend con microservicios.
Lo que encontrarás al unirte al mundo de Periferia IT Group:
🏠🏢 Trabajo híbrido en Cercado de Lima/Perú.
📜 Contrato a plazo indeterminado.
💰 Salario negociable según experiencia y habilidades.
🎁 Beneficios a la carta para tu bienestar y estilo de vida.
¡Da el paso y únete hoy a nuestro equipo Periferia IT! 🎉"
3	Analista Desarrollador/a Backend	https://pe.linkedin.com/jobs/view/analista-desarrollador-a-backend-at-bbva-en-per%C3%BA-3986477083?position=3&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=rtqLIqy1t%2F43asaOZmqkvg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	BBVA en Perú	Description not found
4	Estudiantes Para Trabajo De Desarrollador Java	https://pe.linkedin.com/jobs/view/estudiantes-para-trabajo-de-desarrollador-java-3997476132?position=4&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=R95pnQH%2BUykhhPgx2tkYJg%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	1 week ago	Digital Solutions 324 Sl	"Se busca Programadores Java para Trabajo Remoto y/o estudiantes de Programación.
Empresa: Digital Solutions
Ubicación: Trabajo Remoto
Tipo de Contrato: Prestación de servicios.
Descripción de la Empresa: Digital Solutions es una compañía innovadora enfocada en proporcionar soluciones tecnológicas avanzadas. Nos esforzamos por mejorar continuamente nuestros servicios y productos para satisfacer las necesidades de nuestros clientes. Estamos en la búsqueda de un nuevo miembro para unirse a nuestro equipo de desarrolladores, que comparta nuestra pasión por la tecnología y el compromiso con la excelencia.
Posición: Programador
Descripción del Puesto: Buscamos una persona proactiva, organizada y apasionado por las tecnologías actuales para apoyar a nuestro equipo de trabajo.
Requisitos
Conocimientos básicos en tecnología especialmente JAVA
Persona honesta, responsable y con ética de trabajo.
Edad entre 18- 21 años
Imprescindible tener una conexión a internet confiable de alta velocidad, computador y teclado en español.
Ofrecemos
Pago competitivo por hora entre 4 a 10 euros.
Trabajo de lunes a viernes 8 horas diarias.
Ambiente de trabajo colaborativo y dinámico.
Si cumple con el perfil enviar hoja de vida a ******"
5	Analista Desarrollador Backend	https://pe.linkedin.com/jobs/view/analista-desarrollador-backend-at-costamar-travel-group-3989695819?position=5&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=CXuQNIhVRA3cJN7qDHeaug%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Costamar Travel Group	"COSTAMAR TRAVEL SAC una de las empresas más grandes de Turismo a nivel Mundial, con 44 años de experiencia en el mercado.
Se encuentra en la búsqueda de:ANALISTA DESARROLLADOR BACKEND
Funciones
Construir y mantener aplicaciones web escalables
Trabajar de forma colaborativa con los miembros del equipo
Analizar, investigar, resolver y brindar solucionesRequerido:
Requerido
Sólidos conocimientos de programación orientada a objetos y buenas prácticas de desarrollo .
Experiencia mínima de 2 años, como java 8 / react.
Conocimiento de pruebas unitarias con JUnit
Conocimientos intermedios de arquitectura orientada a servicios (Webservices REST / SOAP)
Conocimientos de Spring Boot / Spring Framework (Spring MVC)
Conocimientos de MySQL, MongoDB
Conocimientos intermedios de tecnologías web (HTML / CSS / JS)
Experiencia con framework CSS.
Experiencia en React, Redux, Flux (indispensable).
Manejo de GIT
Habilidad para analizar, identificar, investigar, resolver y brindar soluciones
Conocimiento de prácticas y metodologías agiles (XP / Scrum, Kanban)Se Ofrece:
Ingreso a planilla con todos los beneficios de ley desde el primer día de labores (CTS, vacaciones, essalud, gratificaciones).
Se Ofrece
Sueldo superior al mercado
Línea de carrera y excelente clima laboral
Capacitaciones constantes
En Costamar Travel, según su código de ética, no se discrimina a las personas con discapacidad, ni sexo, ni religión."
6	Desarrollador de back-end	https://pe.linkedin.com/jobs/view/desarrollador-de-back-end-at-soaint-3988075446?position=6&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=tG26MOdwG4JFWm8AhbH2nw%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	SOAINT	Description not found
7	Back End Developer	https://pe.linkedin.com/jobs/view/back-end-developer-at-softtek-4003172693?position=7&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=j6jmDrNDaot2mgUlS7h28g%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 days ago	Softtek	"Softtek es un proveedor global de servicios orientados a procesos de TI con más de 30 oficinas en Norteamérica, Latinoamérica, Europa y Asia. Maximizamos el valor del software para el mundo: Creamos, Probamos, Implementamos y damos mantenimiento a sistemas que empoderan organizaciones e individuos. En la actualidad nos encontramos en la búsqueda de un talento para el perfil: Backend Developer
Requisitos:
Experiencia de 4+ años desarrollando en la especialidad.
Bachiller y/o Técnico Ingeniería de Sistemas, Software, Informática o afines.
Competencia técnica de OOP, patrones de diseño de software
Competencia técnica en infraestructura On Cloud.
Experiencia solida en
Node.js, AWS
(indispensable)
Competencia técnica de desarrollo API REST bajo un marco de programación como: SpringBoot, Express.JS, Nest.JS, etc.
Competencia técnica de Marco de trabajo Ágil.
Funciones:
Participar activamente en el análisis y diseño de la aplicación.
Resolver los errores identificados durante la iteración.
Escribir infraestructura como código para soportar los servicios desarrollados.
Realizar revisión de código e integrar cambios en git.
Ofrecemos:
Ingreso a planilla con todos los beneficios de ley.
EPS al 100%
Modalidad de trabajo: HIBRIDO
Capacitación constante y línea de carrera.
Podrás optar por los descuentos corporativos en empresas de entretenimiento, educación, entre otros.
Contamos con una plataforma exclusiva virtual con más de 3,000 cursos orientados a potencializar tus habilidades técnicas como blandas.
En Softtek reconocemos que el talento es diverso; respetamos la identidad y condiciones de vida de cada persona y promovemos la equidad de trato y de oportunidades. Para lograr lo anterior, creamos un ambiente incluyente en el cual las personas muestran qué las define y emplean sus diferentes características para lograr mejores resultados.
Por ello, promovemos la diversidad generacional, origen étnico, nacionalidad y la inclusión de personas con habilidades diferentes y/o discapacidad. En cumplimiento de la Ley N° 29973 y su reglamento.
Te invitamos a conocer más sobre la #SofttekLife en: https://www.softtek.com/es-ar/haz-tu-carrera-en-softtek
#Softtek #SofttekLife #TalentoIT"
8	Desarrollador Full Stack	https://pe.linkedin.com/jobs/view/desarrollador-full-stack-at-apuesta-total-3980870471?position=8&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=qhBcbFsP2yT8aFjy8xRiOA%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	4 weeks ago	Apuesta Total	"Apuesta Total empresa líder del rubro de entretenimiento se encuentra en la búsqueda del mejor talento para ocupar el cargo de Desarrollador Full Stack para laborar en nuestras oficinas en Santiago de Surco.
Requisitos
Técnico completo en Sistemas, Informática y/o afines
Experiencia mínima de 4 años ejerciendo el puesto de Desarrollador Full Stack o 2 años como Front y 2 años como Back.
Conocimiento de Linux y Windows a nivel Intermedio
Conocimiento de MySQL, SQL Server u Oracle a nivel avanzado
Conocimiento de NodeJS/NestJs, Spring o.Net a nivel avanzado
Conocimiento de Angular, React o NextJs a nivel avanzado
Conocimiento de PHP, CSS y HTML a nivel Intermedio
Conocimiento de MongoDB y Casandra a nivel básico
Conocimiento de buenas prácticas y principios SOLID
Conocimiento de paradigmas de lenguajes de programación.
Funciones
Analizar, diseñar y desarrollar soluciones web según los requerimientos del área interesada cumpliendo los estándares de buenas prácticas y documentación de código establecidas por el área de desarrollo.
Solucionar errores o problemas en la ejecución de las aplicaciones o sitios web reportados o como resultado del mejoramiento de área.
Integrar aplicaciones y servicios con otros proveedores a través de APIs (componentes) o Servicios Web según especificaciones técnicas de ambas partes.
Desarrollar el prototipo de interfaz de usuario para ejemplificar los requerimientos del sistema.
Informar del avance y progreso de actividades en el status de proyectos.
Otras que le puedan ser asignadas por el superior inmediato.
Condiciones Laborales
Excelente clima laboral.
Planilla desde el 1er día de trabajo con todos los beneficios de ley + beneficios corporativos.
Línea de carrera.
Remuneración acorde al puesto.
¡Forma parte de esta gran familia!"
9	Desarrollador de back-end	https://pe.linkedin.com/jobs/view/desarrollador-de-back-end-at-ntt-data-europe-latam-3989204462?position=9&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=8uUo%2B72GGH%2FvzDXjo7Qv0w%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	NTT DATA Europe & Latam	"En NTT DATA estamos buscando profesionales con experiencia como
BACKEND JAVA - MICROSERVICIOS
, apasionados por las tecnologías para formar parte de nuestro stagg y participar en proyectos grandes y asumir nuevos retos.
Nuestro talento nos ha hecho poder decir con orgullo que somos una de las 6 empresas TOP de tecnologías del mundo.
Para incorporarte a nuestro equipo tendrás que contar con los siguientes requisitos:
Egresado, Bachiller o Titulado en Ingeniería de Sistemas, Software, Computación, Informática o afines.
Experiencia de 05 años a más trabajando con Java.
Experienicia en creación de
Microservicios
Experiencia o Conocimientos en Programación Reactiva.
Disponibilidad para trabajar de manera híbrida (2 veces por semana)
A cambio, ¿Qué ofrecemos?
Contrato a Plazo Indeterminado desde el primer día.
EPS y Seguro Oncológico cubierto al 100%.
Tarjeta de Alimentación Sodexo.
Tres (03) medios días libres al año.
Bonificaciones por Certificaciones.
Otros beneficios adicionales
Si te encuentras interesado y cumples con los requisitos, hazme llegar tu CV Actualizado, Disponibilidad y Pretensiones a: mguardia(arroba)emeal.nttdata.com
“NTTDATA mantiene un política de contratación inclusiva, por lo que invita a cualquier persona a participar en el proceso de selección de la referencia
”
Nuestros MODELO RETRIBUTIVO consta de seguro de vida 👨🏽‍⚕️👩🏼‍⚕️, seguro médico gratuito para ti y tus cargas legales 🩺, seguro dental🦷, asignación de colación 🍔🍎🍳🥑 y variados beneficios de CONCILIACIÓN y EQUILIBRIO de la vida laboral y profesional 🧘🏼‍♂️?
?."
10	Programador full stack	https://pe.linkedin.com/jobs/view/programador-full-stack-at-inetum-3989984584?position=10&pageNum=0&refId=72g1O6cT1rcuuF8Ao7Nl5Q%3D%3D&trackingId=4RAmQKPM4y3%2Ff9QOC4cx8Q%3D%3D&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Inetum	"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow.
Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el grupo tiene cerca de 27,000 colaboradores y apunta a seguir creciendo.
¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito!
Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de TI y negocios, ¡postula ahora!
Actualmente nos encontramos en búsqueda de
2 Fullstack Developer
para que se integre a nuestro equipo de desarrollo.
¿Qué esperamos de ti?
Profesional o técnico en sistemas, computación, informática o afines.
Experiencia en desarrollo mínima de 3 años.
Experiencia desarrollando con Node.JS
Experiencia con Nube AWS o Azure (Artifacts, Redis, AKS)
Experiencia con Python, Git, SQL Server Integration Services, PostgreSQL, Api, Rest
Experiencia en estándares web como JavaScript, React y así como capacidades de navegador.
Experiencia en patrones de diseño de nivel intermedio.
Experiencia en base de datos relacionales y no relacionales.
¿Qué puedes esperar de nosotros?
Remuneración en planilla, con todas las condiciones de ley, desde el primer día.
Estabilidad laboral, capacitación permanente y posibilidad de línea de carrera.
Vale de alimentación (tarjeta Sodexo) y bono por trabajo remoto/movilidad.
Línea de carrera
Convenios y descuentos corporativos (salud, educativos, entretenimiento).
Conoce más de nosotros en www.inetum.com/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos!
En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos, y buscamos ampliar las oportunidades de desarrollo profesional."
