resultTest,section,developmentPercentage
11,6,0.0
11,1,0.22
11,9,0.0
11,7,0.33
11,8,0.11
11,10,0.0
11,11,0.11
11,12,0.22
11,13,0.33
11,14,0.33
11,2,0.0
11,15,0.5
11,16,0.0
11,17,0.0
11,19,0.25
11,20,0.25
11,18,0.0
11,21,0.25
11,22,0.25
11,23,0.0
11,25,0.0
11,24,0.25
11,26,0.5
11,27,0.0
11,28,0.25
11,29,0.0
11,30,0.0
11,31,0.0
11,3,0.0
11,32,0.0
11,33,0.0
11,34,0.0
11,35,0.0
11,36,0.0
11,4,0.0
11,37,0.0
11,38,0.0
11,39,0.0
11,40,0.0
11,5,0.11
11,41,0.0
11,42,0.11
11,43,0.0
11,44,0.0
11,45,0.0
11,46,0.3
11,47,0.0
11,48,0.0
